Assessment Unit Code	Assessment Unit Name	Number of Oil Fields	Oil Volume in Oil Fields (MMBO)	Gas Volume in Oil Fields (BCFG)	NGL Volume in Oil Fields (MMBO)	Number of Gas Fields	Oil Volume in Gas Fields (MMBO)	Gas Volume in Gas Fields (BCFG)	NGL Volume in Gas Fields (MMBO)	Number of N Fields	Oil Volume in N Fields (MMBO)	Gas Volume in N Fields (BCFG)	NGL Volume in N Fields (MMBO)	Total Number of Fields	Total Oil Volume (MMBO)	Total Gas Volume (BCFG)	Total NGL Volume (MMBO)	"First Third or Half, Oil Fields, Year Start"	"First Third or Half, Oil Fields, Year End"	"First Third or Half, Number of Oil Fields"	"First Third or Half, Oil Volume in Oil Fields (MMBO)"	"First Third or Half, Mean Oil-Field Size (MMBO)"	"First Third or Half, Median Oil-Field Size (MMBO)"	"Second Third or Half, Oil Fields, Year End"	"Second Third or Half, Number of Oil Fields"	"Second Third or Half, Oil Volume in Oil Fields (MMBO)"	"Second Third or Half, Mean Oil-Field Size (MMBO)"	"Second Third or Half, Median Oil-Field Size (MMBO)"	"Third Third, Oil Fields, Year End"	"Third Third, Number of Oil Fields"	"Third Third, Oil Volume in Oil Fields (MMBO)"	"Third Third, Mean Oil-Field Size (MMBO)"	"Third Third, Median Oil-Field Size (MMBO)"	"Overall, Mean Oil-Field Size (MMBO)"	"Overall, Median Oil-Field Size (MMBO)"	"First Third or Half, Gas Fields, Year Start"	"First Third or Half, Gas Fields, Year End"	"First Third or Half, Number of Gas Fields"	"First Third or Half, Gas Volume in Gas Fields (BCFG)"	"First Third or Half, Mean Gas-Field Size (BCFG)"	"First Third or Half, Median Gas-Field Size (BCFG)"	"Second Third or Half, Gas Fields, Year End"	"Second Third or Half, Number of Gas Fields"	"Second Third or Half, Gas Volume in Gas Fields (BCFG)"	"Second Third or Half, Mean Gas-Field Size (BCFG)"	"Second Third or Half, Median Gas-Field Size (BCFG)"	"Third Third, Gas Fields, Year End"	"Third Third, Number of Gas Fields"	"Third Third, Gas Volume in Gas Fields (BCFG)"	"Third Third, Mean Gas-Field Size (BCFG)"	"Third Third, Median Gas-Field Size (BCFG)"	"Overall, Mean Gas-Field Size (BCFG)"	"Overall, Median Gas-Field Size (BCFG)"
38240101	Sunda/Asri	44	1257	527	0	5	0	75	0	10	3	12	0	59	1259	614	0	1970	1979	15	618	41	19	1983	15	222	15	5	1995	14	417	30	5	29	10	1982	1984	3	55	18	15	1994	2	20	10	10	NA	NA	NA	NA	NA	15	10
38240201	Ardjuna	76	1832	2321	53	43	72	4967	121	23	5	34	0	142	1908	7322	175	1969	1979	25	1380	55	15	1984	26	273	10	5	1992	25	179	7	5	24	5	1970	1982	14	2960	211	75	1992	15	622	41	40	1995	14	1385	99	50	116	50
38240301	Biogenic Gas	0	0	0	0	5	0	110	0	3	0	9	0	8	0	119	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1970	1984	3	35	12	10	1991	2	75	38	38	NA	NA	NA	NA	NA	22	15
38280101	South Sumatra	85	2345	3412	0	55	63	6618	55	50	11	74	1	190	2419	10104	56	1896	1937	28	1158	41	14	1972	29	846	29	12	1993	28	341	12	5	28	8	1916	1975	18	2117	118	60	1987	19	1681	88	30	1995	18	2820	157	38	120	40
39100301	Malita	9	484	106	0	8	18	7420	385	0	0	0	0	17	502	7526	385	1983	1994	5	433	87	28	1995	4	51	13	10	NA	NA	NA	NA	NA	54	25	1974	1988	4	1050	263	150	1995	4	6370	1593	175	NA	NA	NA	NA	NA	928	150
39130101	Late Jurassic/Early Cretaceous-Mesozoic	4	46	150	0	4	0	17810	200	0	0	0	0	8	46	17960	200	1974	1986	2	31	16	16	1995	2	15	8	8	NA	NA	NA	NA	NA	12	10	1971	1979	2	16780	8390	8390	1990	2	1030	515	515	NA	NA	NA	NA	NA	4453	2715
39300101	Gippsland	28	3755	1858	324	16	105	7916	377	4	1	1	0	48	3860	9775	701	1967	1969	9	3118	346	110	1983	10	534	53	15	1995	9	102	11	5	134	15	1965	1970	5	6606	1321	1730	1984	6	247	41	40	1990	5	1064	213	165	495	87
39480101	Dingo-Mungaroo/Barrow	31	1110	751	4	28	38	47477	987	5	1	17	1	64	1149	48245	991	1964	1983	10	405	41	3	1990	11	508	46	12	1994	10	197	20	7	36	6	1971	1976	9	17225	1914	510	1988	10	14471	1447	115	1995	9	15781	1753	100	1696	247
40170101	Halten Terrace-Trondelag Platform	8	2603	6950	229	7	57	8709	473	1	NA	NA	NA	16	2660	15662	702	1984	1985	4	1904	476	458	1991	4	699	175	116	NA	NA	NA	NA	NA	325	269	1981	1987	4	5599	1400	792	1995	3	3110	1037	370	NA	NA	NA	NA	NA	1244	614
40250101	Viking Graben	153	24930	31451	1673	52	1750	81288	1923	4	2	3	4	209	26681	112742	3600	1970	1977	51	14475	284	68	1987	51	8623	169	25	1995	51	1832	36	20	163	30	1971	1976	17	19365	1139	370	1984	18	54956	3053	317	1995	17	6967	410	150	1563	244
40250102	Moray Firth	50	4443	2127	104	9	0	3725	218	2	1	0	0	61	4444	5852	322	1973	1977	17	2677	157	69	1988	17	1409	83	17	1994	16	358	22	12	89	20	1975	1985	5	3425	685	120	1990	4	300	75	75	NA	NA	NA	NA	NA	414	80
40250103	Central Graben	131	12637	19352	623	61	131	20953	1426	8	2	15	0	200	12769	40320	2049	1966	1980	44	9907	225	59	1987	44	815	19	10	1994	43	1915	45	25	96	25	1968	1982	20	9215	461	250	1990	21	7492	357	300	1995	20	4246	212	75	343	150
40360101	Southern Permian Basin-U.K. Onshore	13	57	10	0	6	0	61	0	34	6	27	0	53	64	99	0	1939	1981	7	46	7	4	1988	6	12	2	2	NA	NA	NA	NA	NA	4	3	1966	1985	3	39	13	11	1992	3	22	7	7	NA	NA	NA	NA	NA	10	9
40360102	Southern Permian Basin-Europe Onshore	94	2364	2090	1	229	26	146031	30	101	10	106	0	424	2400	148227	31	1856	1952	31	1278	41	16	1956	32	485	15	6	1989	31	601	19	11	25	11	1938	1969	76	124387	1637	128	1982	77	13703	178	85	1995	76	7940	104	55	638	75
40360103	Southern Permian Basin-Offshore	14	406	95	1	290	2	73704	140	12	1	35	0	316	408	73834	141	1978	1980	5	207	41	25	1982	5	175	35	30	1987	4	24	6	7	29	23	1964	1978	97	49835	514	153	1988	97	14866	153	75	1995	96	9003	94	74	254	95
40470101	Foreland Basin	0	0	0	0	46	0	10525	3	68	1	64	0	114	1	10589	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1920	1960	15	8462	564	300	1972	16	1481	93	46	1995	15	582	39	19	229	45
40470201	Deformed Belt	28	891	2329	0	25	16	2981	6	110	13	33	0	163	920	5342	6	1854	1954	9	675	75	8	1964	10	166	17	8	1991	9	50	6	3	32	4	1898	1958	8	2383	298	123	1971	9	361	40	20	1990	8	238	30	12	119	30
40480101	Greater Hungarian Plain Basins	66	1017	4467	5	69	39	4989	19	143	17	132	0	278	1074	9588	23	1947	1967	22	655	30	11	1974	22	259	12	5	1991	22	103	5	3	15	5	1943	1965	23	2713	118	36	1976	23	993	43	20	1990	23	1283	56	21	72	27
40480201	Zala-Drava-Sava Basins	53	1083	1154	4	39	4	2658	58	63	10	78	0	155	1098	3889	62	1937	1961	18	520	29	7	1973	18	473	26	5	1985	17	91	5	5	20	5	1917	1962	13	452	35	16	1979	13	1921	148	35	1994	13	286	22	15	68	27
40480301	Danube Basin	0	0	0	0	4	0	238	0	10	0	9	0	14	0	247	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1937	1963	2	46	23	23	1970	2	191	96	96	NA	NA	NA	NA	NA	59	31
40480401	Transcarpathian Basin	0	0	0	0	4	0	248	0	8	0	9	0	12	0	257	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1964	1965	2	74	37	37	1985	2	174	87	87	NA	NA	NA	NA	NA	62	63
40570101	Transylvanian Neogene Suprasalt Gas	0	0	0	0	82	0	30683	0	36	0	48	0	118	0	30731	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1909	1963	27	21440	794	297	1971	28	7124	254	69	1989	27	2120	79	23	374	87
40600101	Neogene Flysch Gas	0	0	0	0	155	12	18272	5	83	2	196	0	238	14	18468	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1940	1968	52	7444	143	30	1984	52	8252	159	50	1995	51	2576	51	25	118	30
40600201	Thermal Triassic	7	332	175	0	2	0	230	27	3	0	7	0	12	332	412	27	1973	1982	4	70	18	17	1987	3	262	87	10	NA	NA	NA	NA	NA	47	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40610101	Moesian Platform	85	1754	878	18	23	10	1277	48	75	14	57	0	183	1777	2211	66	1895	1965	28	1219	44	21	1971	29	410	14	6	1989	28	124	4	2	21	6	1958	1963	8	928	116	104	1970	8	188	24	19	1987	7	160	23	20	56	25
40610201	Romania Flysch Zone	56	1846	1981	3	17	1	1227	9	36	2	14	0	109	1849	3222	11	1860	1953	19	711	37	29	1965	19	654	34	15	1992	18	481	27	21	33	22	1913	1963	6	560	93	51	1977	6	454	76	33	1985	5	213	43	30	72	36
40610202	Romania Ploiesti Zone	26	2165	1003	0	5	0	823	0	7	2	0	0	38	2166	1826	0	1835	1905	9	1278	142	22	1934	9	653	73	30	1985	8	234	29	12	83	22	1937	1955	3	359	120	120	1969	2	464	232	232	NA	NA	NA	NA	NA	165	120
52150101	Jeanne d'Arc	12	1578	1763	74	3	4	643	6	0	0	0	0	15	1582	2406	81	1979	1984	6	1314	219	107	1989	6	264	44	20	NA	NA	NA	NA	NA	131	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430101	Keg River Gas	0	0	0	0	107	0	5781	0	20	0	31	0	127	0	5812	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1955	1971	36	4462	124	13	1981	36	757	21	13	1994	35	562	16	11	54	12
52430102	Keg River Oil and Gas	198	914	0	40	56	0	1219	53	459	97	42	7	713	1011	1262	100	1965	1968	66	648	10	2	1970	66	77	1	1	1993	66	189	3	1	5	1	1954	1969	19	140	7	6	1983	19	544	29	5	1994	18	536	30	8	22	6
52430201	Leduc Gas	1	NA	NA	NA	137	0	9196	329	11	0	25	1	149	42	9221	334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1956	1976	46	5845	127	32	1982	46	1779	39	14	1994	45	1572	35	14	67	15
52430202	Leduc Oil and Gas	580	9280	104	406	80	0	4997	257	857	137	36	29	1517	9417	5136	692	1923	1967	193	7829	41	5	1983	194	1106	6	3	1994	193	345	2	1	16	2	1945	1973	27	4402	163	24	1986	27	376	14	7	1993	26	219	8	7	62	9
52430301	Exshaw-Rundle Gas	5	190	0	51	273	0	15354	345	29	0	59	1	307	190	15413	396	1917	1957	3	176	59	14	1988	2	14	7	7	NA	NA	NA	NA	NA	38	14	1948	1975	91	11855	130	18	1982	91	2119	23	8	1994	91	1381	15	9	56	11
52430302	Exshaw-Rundle Oil and Gas	288	1429	67	178	181	0	5984	189	857	108	104	73	1326	1537	6155	439	1936	1969	96	921	10	3	1981	96	299	3	1	1994	96	209	2	1	5	1	1951	1972	60	4527	75	11	1984	61	953	16	6	1994	60	504	8	6	33	7
52430401	Combined Triassic/Jurassic Gas	3	54	0	4	174	0	3915	43	26	0	50	1	203	54	3965	47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1953	1977	58	1765	30	10	1982	58	1190	21	9	1994	58	961	17	11	23	10
52430402	Combined Triassic/Jurassic Oil and Gas	201	1172	0	102	390	0	6412	154	514	70	203	46	1105	1242	6615	302	1910	1970	67	826	12	3	1984	67	228	3	1	1994	67	119	2	1	6	1	1944	1977	130	3288	25	7	1986	130	2159	17	6	1994	130	965	7	5	16	6
52430501	Mannville Gas	0	0	0	0	1869	0	22939	248	598	0	1514	17	2467	0	24453	265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1920	1974	623	12458	20	8	1982	623	6608	11	6	1994	623	3874	6	4	12	5
52430502	Mannville Continuous (Basin-Center) Gas	0	0	0	0	370	0	6111	177	64	0	167	5	434	0	6278	182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1953	1979	123	3856	31	7	1983	124	1325	11	5	1994	123	930	8	5	17	6
52430601	Second White Specks-Cardium Gas	0	0	0	0	92	0	2011	50	23	0	60	2	115	0	2071	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1955	1980	31	1449	47	6	1989	31	325	10	6	1994	30	237	8	6	22	6
52430602	Second White Specks-Cardium Oil and Gas	130	2371	0	188	343	0	5195	81	467	52	253	25	940	2423	5449	294	1949	1968	43	2040	47	2	1980	44	256	6	2	1992	43	75	2	1	18	2	1943	1974	114	2938	26	9	1982	115	1287	11	6	1994	114	971	9	5	15	6
52430603	Upper Cretaceous Eastern Shallow Gas	19	263	179	2	281	0	18605	16	77	2	146	1	377	265	18929	19	1946	1954	6	133	22	17	1967	7	113	16	4	1986	6	17	3	1	14	4	1904	1966	94	15370	164	11	1977	94	1788	19	7	1994	93	1447	16	5	66	8
52440201	Brightholme Oil	7	14	11	0	0	0	0	0	0	0	0	0	7	14	11	0	1966	1988	4	9	2	2	1989	3	5	2	1	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52440301	Bakken Sandstone	5	7	0	0	0	0	0	0	2	0	0	0	7	7	0	0	1956	1966	3	5	2	1	1986	2	2	1	1	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52440401	Lodgepole Oil	217	2764	860	37	2	0	28	0	63	14	5	0	282	2778	893	37	1951	1956	72	2042	28	7	1965	73	513	7	4	1994	72	209	3	2	13	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53050101	El Abra-Like Reef and Backreef Limestone	52	2040	1147	0	4	0	262	4	35	8	5	1	91	2048	1414	5	1905	1918	17	1114	66	15	1957	18	552	31	12	1991	17	374	22	13	39	12	1967	1968	2	62	31	31	1992	2	200	100	100	NA	NA	NA	NA	NA	66	75
53050102	Tamabra-Like Debris-Flow-Breccia Limestone Overlying Evaporites	62	32938	34502	16	3	50	1175	56	12	3	1	0	77	32990	35678	72	1960	1977	21	8880	423	105	1980	21	21058	1003	200	1994	20	3000	150	88	531	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53050103	Tamabra-Like Debris-Flow-Breccia Limestone and Overlying Strata	5	77	54	0	9	3	475	1	5	0	2	0	19	80	530	1	1953	1968	3	57	19	20	1973	2	20	10	10	NA	NA	NA	NA	NA	15	15	1956	1962	5	280	56	50	1977	4	195	49	43	NA	NA	NA	NA	NA	53	50
53050104	Tamabra-Like Debris-Flow-Breccia Limestone of the Golden Lane	20	3305	3821	0	0	0	0	0	13	3	3	0	33	3308	3824	0	1921	1952	7	2552	365	40	1959	7	592	85	29	1963	6	161	27	11	165	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53050105	Tamaulipas-Like Basinal Limestone and Tertiary Strata Without Underlying Evaporites	34	1622	1656	0	1	NA	NA	NA	33	6	5	0	68	1627	1736	0	1901	1910	11	711	65	10	1930	12	498	42	15	1976	11	413	38	5	48	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53050106	Tamaulipas-Like Basinal Limestone and Tertiary Strata Overlying Evaporites	80	4267	6674	0	6	0	960	18	17	2	6	0	103	4268	7640	18	1911	1966	27	1569	58	30	1985	27	1220	45	15	1995	26	1478	57	20	53	20	1968	1991	3	160	53	50	1992	3	800	267	250	NA	NA	NA	NA	NA	160	75
60290101	Western Pre-Aptian Reservoirs	18	562	807	0	8	2	358	2	31	6	6	0	57	570	1171	2	1957	1968	6	435	72	22	1975	6	81	13	6	1994	6	47	8	3	31	6	1969	1983	4	273	68	57	1986	4	85	21	20	NA	NA	NA	NA	NA	45	33
60290102	Late Cretaceous-Tertiary Deep-Water Sandstones	7	120	168	0	3	0	50	1	13	2	18	1	23	122	236	1	1968	1984	4	66	16	5	1993	3	54	18	2	NA	NA	NA	NA	NA	17	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60340101	Espirito Santo Shelf	17	124	148	0	1	NA	NA	NA	27	6	4	0	45	130	172	0	1969	1977	6	36	6	5	1981	6	78	13	8	1994	5	11	2	2	7	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60350101	Late Cretaceous-Tertiary Turbidites	49	9627	5549	10	7	0	212	0	6	3	0	0	62	9630	5761	10	1975	1981	16	1311	82	46	1988	17	5472	322	69	1994	16	2844	178	123	196	95	1978	1985	4	130	33	30	1991	3	82	27	17	NA	NA	NA	NA	NA	30	30
60350102	Cretaceous Carbonates	9	426	482	0	0	0	0	0	2	0	1	0	11	426	482	0	1974	1982	5	331	66	35	1994	4	95	24	20	NA	NA	NA	NA	NA	47	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60360101	Santos Shelf	7	285	372	5	2	0	750	39	2	0	3	0	11	285	1125	44	1988	1990	4	102	26	30	1993	3	183	61	48	NA	NA	NA	NA	NA	41	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60410101	Hollin-Napo	131	6589	1615	0	0	0	0	0	40	12	1	0	171	6601	1616	0	1963	1974	44	4355	99	24	1988	44	1134	26	9	1995	43	1100	26	6	50	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60450101	Sub-Andean Fold and Thrust Belt	18	245	669	0	55	69	16122	541	21	5	27	2	94	318	16818	543	1926	1933	6	78	13	3	1967	6	154	26	22	1993	6	14	2	2	14	4	1924	1972	18	11127	618	223	1982	19	3182	167	80	1995	18	1813	101	50	293	70
60450102	Foreland Basins	1	NA	NA	NA	3	0	130	5	2	0	4	0	6	2	168	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60550101	Neuquen Extensional Structures	56	1663	3709	17	39	35	12899	310	94	18	92	0	189	1716	16699	327	1937	1969	19	1307	69	21	1983	19	197	10	4	1995	18	159	9	3	30	4	1960	1973	13	2773	213	56	1984	13	9373	721	28	1995	13	752	58	15	331	28
60550102	Neuquen Foothills Structure	23	276	435	1	5	9	234	1	31	12	28	0	59	297	697	2	1941	1978	8	108	13	10	1985	8	145	18	8	1994	7	24	3	1	12	8	1969	1986	3	64	21	9	1990	2	170	85	85	NA	NA	NA	NA	NA	47	20
60550103	Dorsal de Neuquen Structure	27	292	660	0	13	63	2636	9	9	2	11	0	49	357	3307	9	1922	1952	9	126	14	6	1965	9	125	14	5	1995	9	41	5	3	11	5	1933	1969	7	2381	340	100	1995	6	255	43	34	NA	NA	NA	NA	NA	203	46
60580101	San Jorge Extensional Structures	70	3092	2910	0	3	0	25	0	57	14	33	0	130	3106	2968	0	1907	1952	23	1648	72	35	1964	24	1285	54	49	1995	23	159	7	4	44	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60580102	San Bernardo Fold Belt Structures	16	231	522	0	6	0	65	1	29	8	10	0	51	240	597	1	1934	1966	5	59	12	15	1980	6	148	25	12	1995	5	24	5	1	14	6	1973	1987	3	37	12	12	1993	3	29	10	10	NA	NA	NA	NA	NA	11	10
60590101	Magallanes Extensional Structures	77	946	7203	33	60	250	17436	177	107	20	99	1	244	1216	24739	211	1945	1969	26	216	8	4	1983	26	558	21	5	1995	25	171	7	2	12	4	1950	1966	20	11034	552	201	1982	20	1639	82	37	1995	20	4763	238	30	291	44
60810101	Cretaceous-Paleogene Basin	20	1605	2819	0	1	NA	NA	NA	11	2	8	0	32	1607	2877	0	1869	1953	7	1228	175	20	1961	7	325	46	15	1988	6	52	9	5	80	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60830201	Cretaceous-Paleogene Santa Elena Block	7	169	158	0	0	0	0	0	6	2	0	0	13	171	158	0	1919	1965	4	129	32	4	1991	3	40	13	13	NA	NA	NA	NA	NA	24	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60900101	Northern	26	1726	2789	3	0	0	0	0	20	4	3	0	46	1730	2791	3	1918	1957	9	1318	146	34	1965	9	379	42	10	1992	8	30	4	3	66	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60900102	Southern	9	679	206	0	0	0	0	0	6	3	0	0	15	681	206	0	1946	1982	5	607	121	103	1987	4	72	18	13	NA	NA	NA	NA	NA	75	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60900104	La Luna and Older	3	12	1	0	0	0	0	0	11	3	3	0	14	15	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60960101	Central	47	3093	10071	200	1	NA	NA	NA	5	1	0	0	53	3094	15071	450	1974	1985	16	161	10	9	1989	16	77	5	3	1995	15	2855	190	5	66	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60960102	Peripheral	30	2306	237	1	0	0	0	0	10	3	5	0	40	2309	242	1	1969	1984	10	2028	203	95	1987	10	226	23	4	1995	10	52	5	4	77	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60980101	East Venezuela Fold and Thrust Belt	42	13176	45931	261	8	52	6435	261	12	2	13	0	62	13231	52379	522	1913	1946	14	4122	294	117	1984	14	206	15	5	1992	14	8848	632	125	314	42	1939	1951	4	6315	1579	900	1984	4	120	30	30	NA	NA	NA	NA	NA	804	45
60980102	Guarico Sub-Basin	16	302	1059	0	12	15	46489	4	29	5	30	1	57	322	47579	5	1941	1947	5	193	39	28	1955	6	85	14	11	1995	5	25	5	4	19	8	1947	1950	6	44265	7377	60	1962	6	2224	371	25	NA	NA	NA	NA	NA	3874	35
60980103	Maturin Sub-Basin	132	9338	8399	2	5	97	3661	0	45	11	19	0	182	9446	12078	2	1936	1952	44	4850	110	71	1957	44	3038	69	19	1994	44	1450	33	10	71	23	1951	1954	3	3630	1210	600	1979	2	31	15	15	NA	NA	NA	NA	NA	732	30
60980104	Orinoco Heavy Oil and Tar Belt	7	3755	60	0	0	0	0	0	2	0	0	0	9	3755	60	0	1939	1980	4	730	183	60	1984	3	3025	1008	1000	NA	NA	NA	NA	NA	536	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60980201	Trinidad Basins	47	3419	5298	1	26	24	10518	172	24	3	7	0	97	3447	15822	172	1902	1928	16	1258	79	38	1962	16	1115	70	22	1990	15	1047	70	17	73	20	1955	1973	9	3901	433	100	1978	9	3877	431	282	1995	8	2740	343	100	405	129
60990101	Main Maracaibo Basin	45	48209	24169	1	3	0	748	25	11	2	1	0	59	48211	24918	26	1914	1950	15	35236	2349	514	1963	15	11531	769	158	1994	15	1442	96	72	1071	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60990102	Southwest Maracaibo Basin Fold Belt	13	860	1402	15	2	0	380	2	6	2	1	0	21	861	1783	17	1916	1950	7	632	90	90	1962	6	227	38	9	NA	NA	NA	NA	NA	66	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61030101	Carupano Basin Gas	0	0	0	0	10	20	22600	80	0	0	0	0	10	20	22600	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1975	1980	5	14600	2920	2000	1981	5	8000	1600	1000	NA	NA	NA	NA	NA	2260	1500
61170101	North Cuba Fold and Thrust Belt	16	295	96	0	0	0	0	0	5	1	0	0	21	297	96	0	1881	1971	5	109	22	3	1975	6	115	19	6	1994	5	71	14	3	18	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71830101	Coastal Plain and Offshore	12	233	701	21	12	1	1245	15	9	2	3	0	33	236	1949	36	1968	1977	6	62	10	5	1994	6	171	29	23	NA	NA	NA	NA	NA	19	20	1974	1981	6	245	41	38	1993	6	1000	167	75	NA	NA	NA	NA	NA	104	50
71920101	Agbada Reservoirs	479	34211	63561	1508	88	297	30181	1333	52	15	68	1	619	34522	93811	2842	1954	1971	160	21648	135	58	1980	160	7183	45	15	1995	159	5380	34	10	71	20	1958	1973	29	18694	645	240	1986	30	6712	224	50	1995	29	4775	165	100	343	100
72030101	Gabon Subsalt	17	1751	516	15	2	0	320	0	7	1	7	0	26	1752	843	15	1963	1984	6	437	73	38	1988	6	1200	200	17	1994	5	114	23	4	103	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72030201	Gabon Suprasalt	69	2108	773	1	4	0	1038	9	31	6	24	0	104	2114	1835	10	1955	1971	23	948	41	10	1981	23	815	35	13	1995	23	345	15	11	31	10	1956	1957	2	95	48	48	1981	2	943	472	472	NA	NA	NA	NA	NA	260	59
72030301	Central Congo Delta and Carbonate Platform	170	9528	7575	0	16	3	1840	34	36	9	26	5	222	9540	9441	39	1957	1981	57	4201	74	25	1987	57	3222	57	10	1995	56	2105	38	8	56	10	1971	1979	5	1140	228	100	1985	6	545	91	75	1988	5	155	31	30	115	50
72030401	Cuanza-Namibe	10	103	56	0	0	0	0	0	15	3	3	0	25	107	59	0	1955	1967	5	87	17	5	1988	5	16	3	2	NA	NA	NA	NA	NA	10	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80260101	Kohat-Potwar Intrathrust Basin	16	322	1256	3	3	2	722	38	3	0	3	0	22	324	1981	41	1915	1968	5	133	27	34	1991	6	109	18	10	1995	5	81	16	10	20	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80340101	Sylhet-Kopili/Barail-Tipam Composite	36	2472	6023	0	2	0	511	5	7	1	0	0	45	2474	6534	5	1889	1974	12	2239	187	93	1987	12	136	11	9	1991	12	97	8	5	69	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
