Assessment Unit Code	Assessment Unit Name	Number of Oil Fields	Oil Volume in Oil Fields (MMBO)	Gas Volume in Oil Fields (BCFG)	NGL Volume in Oil Fields (MMBO)	Number of Gas Fields	Oil Volume in Gas Fields (MMBO)	Gas Volume in Gas Fields (BCFG)	NGL Volume in Gas Fields (MMBO)	Number of N Fields	Oil Volume in N Fields (MMBO)	Gas Volume in N Fields (BCFG)	NGL Volume in N Fields (MMBO)	Total Number of Fields	Total Oil Volume (MMBO)	Total Gas Volume (BCFG)	Total NGL Volume (MMBO)	"First Third or Half, Oil Fields, Year Start"	"First Third or Half, Oil Fields, Year End"	"First Third or Half, Number of Oil Fields"	"First Third or Half, Oil Volume in Oil Fields (MMBO)"	"First Third or Half, Mean Oil-Field Size (MMBO)"	"First Third or Half, Median Oil-Field Size (MMBO)"	"Second Third or Half, Oil Fields, Year End"	"Second Third or Half, Number of Oil Fields"	"Second Third or Half, Oil Volume in Oil Fields (MMBO)"	"Second Third or Half, Mean Oil-Field Size (MMBO)"	"Second Third or Half, Median Oil-Field Size (MMBO)"	"Third Third, Oil Fields, Year End"	"Third Third, Number of Oil Fields"	"Third Third, Oil Volume in Oil Fields (MMBO)"	"Third Third, Mean Oil-Field Size (MMBO)"	"Third Third, Median Oil-Field Size (MMBO)"	"Overall, Mean Oil-Field Size (MMBO)"	"Overall, Median Oil-Field Size (MMBO)"	"First Third or Half, Gas Fields, Year Start"	"First Third or Half, Gas Fields, Year End"	"First Third or Half, Number of Gas Fields"	"First Third or Half, Gas Volume in Gas Fields (BCFG)"	"First Third or Half, Mean Gas-Field Size (BCFG)"	"First Third or Half, Median Gas-Field Size (BCFG)"	"Second Third or Half, Gas Fields, Year End"	"Second Third or Half, Number of Gas Fields"	"Second Third or Half, Gas Volume in Gas Fields (BCFG)"	"Second Third or Half, Mean Gas-Field Size (BCFG)"	"Second Third or Half, Median Gas-Field Size (BCFG)"	"Third Third, Gas Fields, Year End"	"Third Third, Number of Gas Fields"	"Third Third, Gas Volume in Gas Fields (BCFG)"	"Third Third, Mean Gas-Field Size (BCFG)"	"Third Third, Median Gas-Field Size (BCFG)"	"Overall, Mean Gas-Field Size (BCFG)"	"Overall, Median Gas-Field Size (BCFG)"
38240101	Sunda/Asri	45	1885	657	0	7	0	153	0	7	5	4	0	59	1890	815	0	1970	1979	15	744	50	22	1983	15	319	21	7	1995	15	822	55	11	42	12	1982	1984	4	86	22	18	1994	3	67	22	21	NA	NA	NA	NA	NA	22	21
38240201	Ardjuna	78	2356	3030	70	47	126	9209	204	17	7	22	0	142	2489	12261	274	1969	1980	26	1643	63	17	1984	26	390	15	7	1992	26	323	12	10	30	10	1970	1982	16	3944	247	72	1992	16	1162	73	68	1995	15	4103	274	139	196	78
38240301	Biogenic Gas	0	0	0	0	7	0	237	0	1	NA	NA	NA	8	0	238	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1970	1988	4	97	24	18	1992	3	139	46	13	NA	NA	NA	NA	NA	34	14
38280101	South Sumatra	90	2548	3652	0	65	125	13332	120	35	10	30	0	190	2682	17014	120	1896	1938	30	1378	46	21	1974	30	670	22	11	1994	30	499	17	7	28	9	1916	1981	22	3751	170	64	1988	22	1389	63	29	1995	21	8192	390	56	205	48
39100301	Malita	9	1240	216	0	8	35	24425	1342	0	0	0	0	17	1275	24642	1342	1983	1994	5	1067	213	54	1995	4	174	43	31	NA	NA	NA	NA	NA	138	47	1974	1988	4	1968	492	257	1995	4	22458	5614	418	NA	NA	NA	NA	NA	3053	259
39130101	Late Jurassic/Early Cretaceous-Mesozoic	4	91	419	0	4	0	22374	246	0	0	0	0	8	91	22794	246	1974	1986	2	53	27	27	1995	2	38	19	19	NA	NA	NA	NA	NA	23	19	1971	1979	2	20731	10365	10365	1990	2	1644	822	822	NA	NA	NA	NA	NA	5594	3902
39300101	Gippsland	28	4601	2343	385	16	129	9982	461	4	2	2	0	48	4732	12328	846	1967	1969	9	3615	402	128	1983	10	768	77	22	1995	9	218	24	7	164	26	1965	1970	5	7464	1493	1812	1984	6	334	56	49	1990	5	2184	437	355	624	124
39480101	Dingo-Mungaroo/Barrow	33	1928	1413	7	30	51	96300	1625	1	NA	NA	NA	64	1980	97719	1632	1964	1983	11	506	46	5	1990	11	1002	91	27	1994	11	420	38	15	58	12	1971	1976	10	20116	2012	533	1988	10	20967	2097	202	1995	10	55217	5522	360	3210	360
40170101	Halten Terrace-Trondelag Platform	8	4312	10663	335	7	100	18827	1247	1	NA	NA	NA	16	4413	29499	1582	1984	1985	4	2736	684	658	1991	4	1576	394	230	NA	NA	NA	NA	NA	539	442	1981	1987	4	8387	2097	1309	1995	3	10439	3480	835	NA	NA	NA	NA	NA	2690	1224
40250101	Viking Graben	154	34712	44828	2180	52	2508	116727	2795	3	1	5	6	209	37221	161560	4980	1970	1977	51	17023	334	81	1987	52	13150	253	40	1995	51	4540	89	55	225	57	1971	1976	17	22609	1330	429	1984	18	78973	4387	455	1995	17	15144	891	270	2245	370
40250102	Moray Firth	50	6295	3148	141	9	0	4697	298	2	1	0	0	61	6297	7845	438	1973	1977	17	3281	193	80	1988	17	2138	126	25	1994	16	876	55	32	126	35	1975	1985	5	4066	813	172	1990	4	631	158	159	NA	NA	NA	NA	NA	522	169
40250103	Central Graben	132	17449	26251	815	64	177	34403	2631	4	2	0	0	200	17628	60653	3446	1966	1980	44	11854	269	74	1987	44	1263	29	15	1994	44	4332	98	60	132	43	1968	1982	21	11240	535	290	1990	22	12460	566	465	1995	21	10703	510	209	538	283
40360101	Southern Permian Basin-U.K. Onshore	16	78	12	0	9	0	126	0	28	5	13	0	53	83	151	0	1939	1959	5	24	5	4	1985	6	38	6	3	1990	5	16	3	3	5	3	1966	1985	5	65	13	12	1992	4	61	15	16	NA	NA	NA	NA	NA	14	13
40360102	Southern Permian Basin-Europe Onshore	95	2440	2329	1	239	28	167445	37	90	10	73	0	424	2478	169847	37	1856	1952	32	1302	41	16	1956	32	583	18	6	1989	31	555	18	12	26	12	1938	1970	80	132495	1656	136	1983	80	15986	200	75	1995	79	18965	240	100	701	108
40360103	Southern Permian Basin-Offshore	15	593	169	1	294	2	103188	195	7	0	19	0	316	595	103377	197	1978	1980	5	298	60	36	1982	5	251	50	43	1994	5	43	9	10	40	29	1964	1978	98	57802	590	184	1988	98	23402	239	129	1995	98	21985	224	176	351	164
40470101	Foreland Basin	0	0	0	0	53	0	13288	5	61	2	48	0	114	2	13336	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1920	1960	18	10479	582	292	1978	18	1990	111	52	1995	17	819	48	25	251	45
40470201	Deformed Belt	30	1039	2384	0	28	17	3420	8	105	15	24	0	163	1070	5828	8	1854	1956	10	764	76	9	1965	10	197	20	5	1991	10	77	8	5	35	5	1898	1960	9	2661	296	129	1973	10	373	37	21	1990	9	386	43	17	122	33
40480101	Greater Hungarian Plain Basins	75	1381	5850	7	79	54	6938	28	124	16	97	0	278	1451	12885	34	1947	1968	25	933	37	14	1974	25	306	12	6	1994	25	141	6	3	18	6	1943	1965	26	3527	136	39	1976	27	1647	61	28	1993	26	1764	68	24	88	27
40480201	Zala-Drava-Sava Basins	58	1429	1539	5	46	6	3890	87	51	11	59	0	155	1446	5488	92	1937	1962	19	724	38	9	1974	20	584	29	7	1995	19	121	6	4	25	7	1917	1964	15	572	38	19	1986	16	2827	177	53	1995	15	491	33	19	85	30
40480301	Danube Basin	0	0	0	0	5	0	313	0	9	0	6	0	14	0	319	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1937	1963	3	63	21	14	1970	2	250	125	125	NA	NA	NA	NA	NA	63	37
40480401	Transcarpathian Basin	0	0	0	0	5	0	369	0	7	0	7	0	12	0	376	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1964	1984	3	253	84	73	1991	2	116	58	58	NA	NA	NA	NA	NA	74	73
40570101	Transylvanian Neogene Suprasalt Gas	0	0	0	0	85	0	37884	0	33	0	50	0	118	0	37934	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1909	1964	28	25028	894	315	1973	29	9714	335	78	1995	28	3142	112	28	446	117
40600101	Neogene Flysch Gas	0	0	0	0	177	12	23472	6	61	2	118	0	238	14	23590	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1940	1971	59	13747	233	31	1985	59	6207	105	58	1995	59	3519	60	40	133	42
40600201	Thermal Triassic	7	507	268	0	2	0	328	37	3	0	9	0	12	507	605	37	1973	1982	4	103	26	25	1987	3	405	135	18	NA	NA	NA	NA	NA	72	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40610101	Moesian Platform	95	2340	1234	27	24	13	1715	83	64	8	73	0	183	2362	3022	110	1895	1966	32	1605	50	21	1972	32	599	19	7	1989	31	137	4	2	25	6	1958	1963	8	1200	150	135	1970	8	260	33	26	1987	8	255	32	25	71	31
40610201	Romania Flysch Zone	57	2275	2558	3	17	1	1673	13	35	2	19	0	109	2278	4250	16	1860	1953	19	769	40	36	1964	19	737	39	17	1992	19	768	40	30	40	27	1913	1963	6	721	120	66	1977	6	631	105	47	1985	5	321	64	45	98	50
40610202	Romania Ploiesti Zone	26	2282	1124	0	5	0	1066	0	7	2	0	0	38	2284	2190	0	1835	1905	9	1278	142	22	1934	9	720	80	33	1985	8	284	36	15	88	22	1937	1955	3	434	145	144	1969	2	632	316	316	NA	NA	NA	NA	NA	213	144
52150101	Jeanne d'Arc	12	2426	2757	114	3	6	969	10	0	0	0	0	15	2432	3725	124	1979	1984	6	2015	336	164	1989	6	412	69	31	NA	NA	NA	NA	NA	202	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430101	Keg River Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430102	Keg River Oil and Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430201	Leduc Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430202	Leduc Oil and Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430301	Exshaw-Rundle Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430302	Exshaw-Rundle Oil and Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430401	Combined Triassic/Jurassic Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430402	Combined Triassic/Jurassic Oil and Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430501	Mannville Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430502	Mannville Continuous (Basin-Center) Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430601	Second White Specks-Cardium Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430602	Second White Specks-Cardium Oil and Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52430603	Upper Cretaceous Eastern Shallow Gas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52440201	Brightholme Oil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52440301	Bakken Sandstone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52440401	Lodgepole Oil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53050101	El Abra-Like Reef and Backreef Limestone	52	2115	1236	0	4	0	567	10	35	8	6	1	91	2123	1809	11	1905	1918	17	1114	66	15	1957	18	555	31	12	1991	17	447	26	16	41	14	1967	1968	2	72	36	36	1992	2	495	248	248	NA	NA	NA	NA	NA	142	148
53050102	Tamabra-Like Debris-Flow-Breccia Limestone Overlying Evaporites	63	46901	48038	22	3	72	1744	81	11	3	1	0	77	46975	49783	103	1960	1977	21	11673	556	144	1980	21	30261	1441	287	1994	21	4967	237	150	744	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53050103	Tamabra-Like Debris-Flow-Breccia Limestone and Overlying Strata	5	84	62	0	9	4	555	1	5	0	2	0	19	88	619	1	1953	1968	3	60	20	23	1973	2	23	12	12	NA	NA	NA	NA	NA	17	17	1956	1962	5	293	59	52	1977	4	262	66	56	NA	NA	NA	NA	NA	62	52
53050104	Tamabra-Like Debris-Flow-Breccia Limestone of the Golden Lane	20	3341	3862	0	0	0	0	0	13	3	3	0	33	3344	3866	0	1921	1952	7	2552	365	40	1959	7	620	89	30	1963	6	169	28	11	167	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53050105	Tamaulipas-Like Basinal Limestone and Tertiary Strata Without Underlying Evaporites	34	1656	1797	0	1	NA	NA	NA	33	6	5	0	68	1662	1889	0	1901	1910	11	711	65	10	1930	12	498	42	15	1976	11	447	41	6	49	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53050106	Tamaulipas-Like Basinal Limestone and Tertiary Strata Overlying Evaporites	80	6988	11737	0	6	0	2399	46	17	2	7	0	103	6990	14142	46	1911	1966	27	1619	60	30	1985	27	1681	62	22	1995	26	3688	142	56	87	36	1968	1991	3	350	117	100	1992	3	2049	683	640	NA	NA	NA	NA	NA	400	183
60290101	Western Pre-Aptian Reservoirs	22	640	971	0	8	2	461	2	27	5	8	0	57	647	1440	2	1957	1968	7	464	66	14	1983	8	145	18	8	1994	7	31	4	2	29	4	1969	1983	4	319	80	66	1986	4	142	35	29	NA	NA	NA	NA	NA	58	42
60290102	Late Cretaceous-Tertiary Deep-Water Sandstones	8	187	195	0	4	0	72	1	11	2	17	1	23	189	284	1	1968	1984	4	77	19	6	1993	4	111	28	5	NA	NA	NA	NA	NA	23	5	1974	1974	2	29	14	14	1983	2	43	22	22	NA	NA	NA	NA	NA	18	14
60340101	Espirito Santo Shelf	21	184	221	0	1	NA	NA	NA	23	6	5	0	45	190	255	0	1969	1977	7	78	11	9	1982	7	82	12	2	1994	7	25	4	1	9	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60350101	Late Cretaceous-Tertiary Turbidites	53	17638	8936	14	7	0	376	0	2	1	0	0	62	17639	9312	14	1975	1981	18	1887	105	59	1989	18	8662	481	102	1994	17	7089	417	269	333	99	1978	1985	4	187	47	43	1991	3	189	63	41	NA	NA	NA	NA	NA	54	43
60350102	Cretaceous Carbonates	9	668	804	0	0	0	0	0	2	1	1	0	11	669	805	0	1974	1982	5	431	86	41	1994	4	237	59	59	NA	NA	NA	NA	NA	74	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60360101	Santos Shelf	7	689	838	10	2	0	1416	63	2	0	4	0	11	689	2258	73	1988	1990	4	220	55	62	1993	3	470	157	123	NA	NA	NA	NA	NA	98	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60410101	Hollin-Napo	136	10564	2307	0	0	0	0	0	35	14	0	0	171	10578	2307	0	1963	1974	45	6187	137	32	1988	46	1859	40	13	1995	45	2517	56	12	78	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60450101	Sub-Andean Fold and Thrust Belt	20	333	915	0	56	102	24426	820	18	5	26	1	94	440	25368	822	1926	1947	7	99	14	4	1973	7	218	31	11	1993	6	15	3	3	17	4	1924	1973	19	11846	623	140	1982	19	5226	275	118	1995	18	7354	409	148	436	128
60450102	Foreland Basins	1	NA	NA	NA	4	0	239	9	1	NA	NA	NA	6	3	292	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1976	1977	2	188	94	94	1993	2	51	26	26	NA	NA	NA	NA	NA	60	35
60550101	Neuquen Extensional Structures	67	2363	5599	26	45	50	19620	465	77	19	75	0	189	2432	25293	492	1937	1971	22	1871	85	30	1985	23	169	7	4	1995	22	323	15	6	35	4	1960	1973	15	3927	262	77	1987	15	14701	980	38	1995	15	992	66	34	436	42
60550102	Neuquen Foothills Structure	35	436	681	2	5	17	435	2	19	6	25	0	59	458	1141	4	1941	1979	12	218	18	9	1985	12	163	14	2	1995	11	55	5	2	12	6	1969	1986	3	98	33	13	1990	2	337	169	169	NA	NA	NA	NA	NA	87	40
60550103	Dorsal de Neuquen Structure	28	381	837	0	13	83	3632	13	8	2	15	0	49	466	4484	13	1922	1952	9	151	17	7	1966	10	165	17	6	1995	9	65	7	4	14	6	1933	1969	7	3106	444	129	1995	6	526	88	101	NA	NA	NA	NA	NA	279	112
60580101	San Jorge Extensional Structures	79	3873	3653	0	8	1	82	1	43	12	15	0	130	3886	3750	1	1907	1954	26	2037	78	37	1970	27	1651	61	32	1995	26	185	7	3	49	14	1967	1976	4	31	8	7	1995	4	51	13	13	NA	NA	NA	NA	NA	10	9
60580102	San Bernardo Fold Belt Structures	24	364	755	0	6	1	116	2	21	7	15	0	51	371	886	2	1934	1976	8	204	25	22	1993	8	135	17	9	1995	8	25	3	3	15	4	1973	1987	3	56	19	21	1993	3	60	20	19	NA	NA	NA	NA	NA	19	20
60590101	Magallanes Extensional Structures	83	1475	10402	49	69	338	24202	250	92	23	77	1	244	1835	34681	300	1945	1971	28	515	18	5	1984	28	632	23	8	1995	27	328	12	3	18	5	1950	1967	23	14291	621	100	1983	23	8389	365	53	1995	23	1522	66	41	351	53
60810101	Cretaceous-Paleogene Basin	20	1627	2859	0	1	NA	NA	NA	11	2	9	0	32	1630	2940	0	1869	1953	7	1228	175	20	1961	7	334	48	16	1988	6	65	11	9	81	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60830201	Cretaceous-Paleogene Santa Elena Block	7	221	162	0	0	0	0	0	6	2	0	0	13	223	162	0	1919	1965	4	129	32	4	1991	3	92	31	28	NA	NA	NA	NA	NA	32	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60900101	Northern	27	2112	3514	4	0	0	0	0	19	4	3	0	46	2116	3517	4	1918	1957	9	1569	174	42	1964	9	421	47	8	1992	9	122	14	6	78	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60900102	Southern	10	904	260	0	0	0	0	0	5	3	0	0	15	907	260	0	1946	1981	5	682	136	128	1987	5	223	45	43	NA	NA	NA	NA	NA	90	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60900104	La Luna and Older	4	18	2	0	0	0	0	0	10	3	4	0	14	22	6	0	1951	1963	2	9	4	4	1988	2	9	5	5	NA	NA	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60960101	Central	47	8791	40019	973	1	NA	NA	NA	5	2	0	0	53	8793	52785	1612	1974	1985	16	243	15	13	1989	16	140	9	5	1995	15	8409	561	10	187	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60960102	Peripheral	31	3581	389	1	0	0	0	0	9	4	0	0	40	3585	389	1	1969	1984	10	3093	309	139	1987	11	380	35	5	1995	10	108	11	9	116	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60980101	East Venezuela Fold and Thrust Belt	43	21387	66943	319	9	63	7945	315	10	2	10	0	62	21451	74898	634	1913	1946	14	5012	358	144	1984	15	261	17	5	1992	14	16113	1151	226	497	53	1939	1952	5	7782	1556	248	1984	4	163	41	37	NA	NA	NA	NA	NA	883	50
60980102	Guarico Sub-Basin	17	407	1338	0	14	19	57757	6	26	5	17	0	57	431	59112	6	1941	1949	6	285	47	39	1958	6	63	10	5	1995	5	60	12	4	24	11	1947	1950	5	54853	10971	47	1952	5	2825	565	62	1982	4	79	20	16	4125	39
60980103	Maturin Sub-Basin	133	11715	10656	3	5	121	4554	0	44	13	24	0	182	11849	15235	3	1936	1952	44	5973	136	88	1957	45	3783	84	21	1994	44	1959	45	18	88	32	1951	1954	3	4508	1503	745	1979	2	46	23	23	NA	NA	NA	NA	NA	911	37
60980104	Orinoco Heavy Oil and Tar Belt	7	5574	74	0	0	0	0	0	2	0	0	0	9	5574	74	0	1939	1980	4	934	234	92	1984	3	4639	1546	1534	NA	NA	NA	NA	NA	796	153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60980201	Trinidad Basins	47	4176	6627	1	27	34	19402	327	23	5	3	0	97	4214	26032	328	1902	1928	16	1325	83	39	1962	16	1380	86	28	1990	15	1471	98	27	89	28	1955	1972	9	4830	537	99	1977	9	6076	675	452	1995	9	8496	944	151	719	151
60990101	Main Maracaibo Basin	46	59108	30398	1	3	0	1050	30	10	2	1	0	59	59110	31448	31	1914	1950	15	41986	2799	613	1973	16	14987	937	199	1994	15	2135	142	72	1285	176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60990102	Southwest Maracaibo Basin Fold Belt	14	1046	1712	17	2	0	647	4	5	1	2	0	21	1047	2362	20	1916	1939	5	321	64	45	1955	5	453	91	12	1962	4	272	68	47	75	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61030101	Carupano Basin Gas	0	0	0	0	10	30	33804	121	0	0	0	0	10	30	33804	121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1975	1980	5	21750	4350	2765	1981	5	12054	2411	1507	NA	NA	NA	NA	NA	3380	2136
61170101	North Cuba Fold and Thrust Belt	16	496	137	0	0	0	0	0	5	2	0	0	21	498	137	0	1881	1971	5	151	30	4	1975	6	160	27	8	1994	5	185	37	6	31	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71830101	Coastal Plain and Offshore	12	436	1534	55	12	1	1854	23	9	3	5	0	33	440	3393	78	1968	1977	6	73	12	6	1994	6	363	61	32	NA	NA	NA	NA	NA	36	26	1974	1981	6	349	58	54	1993	6	1505	251	142	NA	NA	NA	NA	NA	154	72
71920101	Agbada Reservoirs	481	43869	75033	1703	93	435	42250	1728	45	16	52	0	619	44320	117334	3431	1954	1971	160	23741	148	60	1980	161	9048	56	22	1995	160	11081	69	23	91	29	1958	1974	31	20699	668	116	1986	31	8890	287	58	1995	31	12660	408	199	454	144
72030101	Gabon Subsalt	17	2532	762	22	2	0	690	0	7	3	9	0	26	2535	1461	22	1963	1984	6	503	84	54	1988	6	1780	297	33	1994	5	249	50	12	149	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72030201	Gabon Suprasalt	70	2737	880	2	7	0	1476	12	27	7	5	0	104	2744	2362	14	1955	1971	23	1050	46	10	1981	24	1019	42	16	1995	23	668	29	22	39	17	1956	1980	4	1400	350	50	1981	3	76	25	7	NA	NA	NA	NA	NA	211	21
